Condition_Pair,Band,Subject,Channel,Feature_Type,Feature,Source_Column,BF,AF,Change,Change_Percent,Direction
BF_vs_AF,Gamma,9,AF8,HJ,Hjorth Activity,RAW_AF8_HJ_Activity,2070466.0581160544,2261133.94772366,190667.88960760576,9.208935778502793,Increase
BF_vs_AF,Gamma,9,AF8,HJ,Hjorth Complexity,RAW_AF8_HJ_Complexity,1.315904970225254,1.3356324134031496,0.019727443177895543,1.4991540897150526,Increase
BF_vs_AF,Gamma,9,AF8,HJ,Hjorth Mobility,RAW_AF8_HJ_Mobility,0.6662021633606702,0.6631348678155277,-0.003067295545142512,-0.4604151282952127,Decrease
BF_vs_AF,Gamma,9,TP10,EN,Entropy,RAW_TP10_EN,5.413848573883188,5.41613367015108,0.002285096267891973,0.04220835209384039,Increase
BF_vs_AF,Gamma,9,TP10,BP,Gamma Band Power,RAW_TP10_BP_Gamma,808793.9067176958,639483.5617406482,-169310.34497704753,-20.933682062981244,Decrease
BF_vs_AF,Gamma,9,TP10,RP,Gamma Relative Power,RAW_TP10_RP_Gamma,0.3855208658590608,0.4050710893932183,0.019550223534157474,5.071119429708033,Increase
BF_vs_AF,Gamma,9,TP10,HJ,Hjorth Activity,RAW_TP10_HJ_Activity,2132641.1647998164,1652590.4515444138,-480050.71325540263,-22.509680539738774,Decrease
BF_vs_AF,Gamma,9,TP10,HJ,Hjorth Complexity,RAW_TP10_HJ_Complexity,1.3262805099062345,1.3150495022936002,-0.011231007612634292,-0.8468048447329066,Decrease
BF_vs_AF,Gamma,9,TP10,HJ,Hjorth Mobility,RAW_TP10_HJ_Mobility,0.6649893976425686,0.6719484682709391,0.006959070628370534,1.0464934708795206,Increase
BF_vs_AF,Gamma,9,TP9,EN,Entropy,RAW_TP9_EN,5.409572383393136,5.409645034474264,7.265108112797236e-05,0.001343009686884016,Increase
BF_vs_AF,Gamma,9,TP9,BP,Gamma Band Power,RAW_TP9_BP_Gamma,853713.7549180597,751115.7478571126,-102598.00706094713,-12.017846317914206,Decrease
