Condition_Pair,Band,Subject,Channel,Feature_Type,Feature,Source_Column,BM,AM,Change,Change_Percent,Direction
BM_vs_AM,Gamma,9,AF8,HJ,Hjorth Complexity,RAW_AF8_HJ_Complexity,1.324043389172687,1.316200142069066,-0.007843247103620943,-0.5923708518737972,Decrease
BM_vs_AM,Gamma,9,AF8,HJ,Hjorth Mobility,RAW_AF8_HJ_Mobility,0.6629234105865915,0.6712393098020062,0.008315899215414646,1.2544283521464834,Increase
BM_vs_AM,Gamma,9,TP10,EN,Entropy,RAW_TP10_EN,5.4119023201135015,5.419470370905742,0.007568050792240655,0.1398408608395196,Increase
BM_vs_AM,Gamma,9,TP10,BP,Gamma Band Power,RAW_TP10_BP_Gamma,718231.1578740721,637288.1066784604,-80943.05119561171,-11.26977718917111,Decrease
BM_vs_AM,Gamma,9,TP10,RP,Gamma Relative Power,RAW_TP10_RP_Gamma,0.3891621957612435,0.39316759203987,0.004005396278626505,1.029235707438518,Increase
BM_vs_AM,Gamma,9,TP10,HJ,Hjorth Activity,RAW_TP10_HJ_Activity,1861436.21911556,1635410.8538880153,-226025.36522754468,-12.142525374032855,Decrease
BM_vs_AM,Gamma,9,TP10,HJ,Hjorth Complexity,RAW_TP10_HJ_Complexity,1.3269701627334682,1.3166768991795372,-0.010293263553931009,-0.7756966842967733,Decrease
BM_vs_AM,Gamma,9,TP10,HJ,Hjorth Mobility,RAW_TP10_HJ_Mobility,0.6641143006386655,0.6686858487593204,0.004571548120654856,0.6883676674720736,Increase
BM_vs_AM,Gamma,9,TP9,EN,Entropy,RAW_TP9_EN,5.409255838949408,5.406330828189635,-0.002925010759772917,-0.05407418038376636,Decrease
BM_vs_AM,Gamma,9,TP9,BP,Gamma Band Power,RAW_TP9_BP_Gamma,753103.075738791,745797.017771872,-7306.057966919034,-0.9701272245836761,Decrease
BM_vs_AM,Gamma,9,TP9,RP,Gamma Relative Power,RAW_TP9_RP_Gamma,0.3829020012504055,0.3966166457002503,0.01371464444984477,3.5817635857368733,Increase
BM_vs_AM,Gamma,9,TP9,HJ,Hjorth Activity,RAW_TP9_HJ_Activity,2041179.4184573288,1891114.7098915416,-150064.70856578718,-7.3518627127448815,Decrease
BM_vs_AM,Gamma,9,TP9,HJ,Hjorth Complexity,RAW_TP9_HJ_Complexity,1.331266639975233,1.319541123331038,-0.011725516644195189,-0.88077897335528,Decrease
BM_vs_AM,Gamma,9,TP9,HJ,Hjorth Mobility,RAW_TP9_HJ_Mobility,0.6615684200920107,0.6688097980310584,0.007241377939047777,1.0945773285309854,Increase
BM_vs_AM,Gamma,14,AF7,EN,Entropy,RAW_AF7_EN,5.40315818639488,5.40129697686773,-0.0018612095271501872,-0.03444669696764943,Decrease
BM_vs_AM,Gamma,14,AF7,BP,Gamma Band Power,RAW_AF7_BP_Gamma,674108.5586360472,705165.3679418677,31056.809305820498,4.607093161472252,Increase
BM_vs_AM,Gamma,14,AF7,RP,Gamma Relative Power,RAW_AF7_RP_Gamma,0.4033296773345175,0.3936979938940961,-0.009631683440421424,-2.388042334021705,Decrease
BM_vs_AM,Gamma,14,AF7,HJ,Hjorth Activity,RAW_AF7_HJ_Activity,1686348.464558775,1816033.7636524776,129685.29909370258,7.6903025572258645,Increase
BM_vs_AM,Gamma,14,AF7,HJ,Hjorth Complexity,RAW_AF7_HJ_Complexity,1.3053564556110555,1.3204936138727832,0.015137158261727679,1.1596187536868439,Increase
BM_vs_AM,Gamma,14,AF7,HJ,Hjorth Mobility,RAW_AF7_HJ_Mobility,0.6762848422076903,0.6671212777663174,-0.009163564441372896,-1.3549859274472282,Decrease
BM_vs_AM,Gamma,14,AF8,EN,Entropy,RAW_AF8_EN,5.40384612450848,5.406984501182908,0.0031383766744284003,0.05807672169262331,Increase
BM_vs_AM,Gamma,14,AF8,BP,Gamma Band Power,RAW_AF8_BP_Gamma,667019.7785931416,680812.7760009922,13792.997407850577,2.0678543351356624,Increase
BM_vs_AM,Gamma,14,AF8,RP,Gamma Relative Power,RAW_AF8_RP_Gamma,0.4035080275209479,0.4014353033444501,-0.0020727241764977866,-0.5136760696514724,Decrease
BM_vs_AM,Gamma,14,AF8,HJ,Hjorth Activity,RAW_AF8_HJ_Activity,1688170.49680016,1719473.0254191062,31302.528618946206,1.854227915857938,Increase
BM_vs_AM,Gamma,14,AF8,HJ,Hjorth Complexity,RAW_AF8_HJ_Complexity,1.306909318577823,1.3070139609347815,0.00010464235695839541,0.008006856747510767,Increase
BM_vs_AM,Gamma,14,AF8,HJ,Hjorth Mobility,RAW_AF8_HJ_Mobility,0.6739784880999744,0.674422813131218,0.00044432503124358647,0.06592569927508986,Increase
BM_vs_AM,Gamma,14,TP10,EN,Entropy,RAW_TP10_EN,5.406976007273439,5.412814823598669,0.005838816325230312,0.1079867252485671,Increase
BM_vs_AM,Gamma,14,TP10,BP,Gamma Band Power,RAW_TP10_BP_Gamma,656569.2613187719,632950.0579314814,-23619.203387290472,-3.597366611383758,Decrease
BM_vs_AM,Gamma,14,TP10,RP,Gamma Relative Power,RAW_TP10_RP_Gamma,0.3908905770473925,0.3935938264005795,0.0027032493531869983,0.6915616573840433,Increase
BM_vs_AM,Gamma,14,TP10,HJ,Hjorth Activity,RAW_TP10_HJ_Activity,1684850.0866002033,1633806.8923587166,-51043.19424148672,-3.0295392241386234,Decrease
BM_vs_AM,Gamma,14,TP10,HJ,Hjorth Complexity,RAW_TP10_HJ_Complexity,1.313166402444537,1.3214704602933949,0.008304057848857793,0.6323690457964274,Increase
BM_vs_AM,Gamma,14,TP10,HJ,Hjorth Mobility,RAW_TP10_HJ_Mobility,0.6714866688656764,0.6667420505049632,-0.004744618360713271,-0.7065841483834998,Decrease
BM_vs_AM,Gamma,14,TP9,EN,Entropy,RAW_TP9_EN,5.411176905597834,5.407756398628779,-0.0034205069690553813,-0.06321188585641849,Decrease
BM_vs_AM,Gamma,14,TP9,BP,Gamma Band Power,RAW_TP9_BP_Gamma,689675.0416994361,672351.4296653208,-17323.61203411536,-2.5118513773425883,Decrease
BM_vs_AM,Gamma,14,TP9,RP,Gamma Relative Power,RAW_TP9_RP_Gamma,0.4023764992178664,0.3883480588783418,-0.014028440339524606,-3.4863965382652533,Decrease
BM_vs_AM,Gamma,14,TP9,HJ,Hjorth Activity,RAW_TP9_HJ_Activity,1746702.4014409804,1771735.7671633249,25033.36572234449,1.4331786400300741,Increase
BM_vs_AM,Gamma,14,TP9,HJ,Hjorth Complexity,RAW_TP9_HJ_Complexity,1.316867659513274,1.326020905009578,0.009153245496303919,0.6950770967894404,Increase
BM_vs_AM,Gamma,14,TP9,HJ,Hjorth Mobility,RAW_TP9_HJ_Mobility,0.6719638986898715,0.6649055392782364,-0.007058359411635129,-1.0504075331125402,Decrease
BM_vs_AM,Gamma,16,AF7,EN,Entropy,RAW_AF7_EN,5.402070317896118,4.4312525835332455,-0.9708177343628721,-17.97121616774817,Decrease
BM_vs_AM,Gamma,16,AF7,BP,Gamma Band Power,RAW_AF7_BP_Gamma,891612.2121614171,8.09259683882024,-891604.1195645783,-99.99909236361633,Decrease
BM_vs_AM,Gamma,16,AF7,RP,Gamma Relative Power,RAW_AF7_RP_Gamma,0.3798337780335603,0.1136678724417562,-0.2661659055918041,-70.07431170807746,Decrease
BM_vs_AM,Gamma,16,AF7,HJ,Hjorth Activity,RAW_AF7_HJ_Activity,2379041.7577626063,102.7606220308099,-2378938.9971405757,-99.9956805877116,Decrease
BM_vs_AM,Gamma,16,AF7,HJ,Hjorth Complexity,RAW_AF7_HJ_Complexity,1.3360557704385116,2.0835315943781207,0.7474758239396091,55.946453769237294,Increase
BM_vs_AM,Gamma,16,AF7,HJ,Hjorth Mobility,RAW_AF7_HJ_Mobility,0.6578850144052335,0.389028320236409,-0.2688566941688245,-40.866821447800675,Decrease
BM_vs_AM,Gamma,16,AF8,EN,Entropy,RAW_AF8_EN,5.408314088127401,4.362767535500927,-1.0455465526264742,-19.3322084403661,Decrease
BM_vs_AM,Gamma,16,AF8,BP,Gamma Band Power,RAW_AF8_BP_Gamma,725609.0122314324,8.956410065114,-725600.0558213673,-99.99876566995253,Decrease
