Condition_Pair,Band,Subject,Channel,Feature_Type,Feature,Source_Column,BCF,ACF,Change,Change_Percent,Direction
BCF_vs_ACF,Gamma,9,AF7,EN,Entropy,RAW_AF7_EN,5.404745328276249,5.400095812715429,-0.004649515560820383,-0.08602654294357412,Decrease
BCF_vs_ACF,Gamma,9,AF7,BP,Gamma Band Power,RAW_AF7_BP_Gamma,677650.8611521558,848728.2959462123,171077.43479405646,25.24566035424011,Increase
BCF_vs_ACF,Gamma,9,AF7,RP,Gamma Relative Power,RAW_AF7_RP_Gamma,0.3998754339265253,0.3952077957838038,-0.004667638142721531,-1.167273042229241,Decrease
BCF_vs_ACF,Gamma,9,AF7,HJ,Hjorth Activity,RAW_AF7_HJ_Activity,1720488.066935424,2220071.963325673,499583.8963902488,29.03733574160267,Increase
BCF_vs_ACF,Gamma,9,AF7,HJ,Hjorth Complexity,RAW_AF7_HJ_Complexity,1.306816456983181,1.3144058646116337,0.007589407628452616,0.5807554372228335,Increase
BCF_vs_ACF,Gamma,9,AF7,HJ,Hjorth Mobility,RAW_AF7_HJ_Mobility,0.6719882425787339,0.6689304639022072,-0.003057778676526679,-0.45503455012732796,Decrease
BCF_vs_ACF,Gamma,9,AF8,EN,Entropy,RAW_AF8_EN,5.403844119382825,5.4026631278736845,-0.0011809915091403056,-0.021854655372168415,Decrease
BCF_vs_ACF,Gamma,9,AF8,BP,Gamma Band Power,RAW_AF8_BP_Gamma,693873.8023870781,832205.1930118093,138331.3906247312,19.936102234850324,Increase
BCF_vs_ACF,Gamma,9,AF8,RP,Gamma Relative Power,RAW_AF8_RP_Gamma,0.3925533472676497,0.3941672833902935,0.001613936122643822,0.41113803611090144,Increase
BCF_vs_ACF,Gamma,9,AF8,HJ,Hjorth Activity,RAW_AF8_HJ_Activity,1774992.8818411822,2226415.6901744,451422.80833321763,25.432372881685094,Increase
BCF_vs_ACF,Gamma,9,AF8,HJ,Hjorth Complexity,RAW_AF8_HJ_Complexity,1.3175060512999617,1.3127390275248874,-0.004767023775074319,-0.3618217745846993,Decrease
BCF_vs_ACF,Gamma,9,AF8,HJ,Hjorth Mobility,RAW_AF8_HJ_Mobility,0.6702189237852212,0.669232278908164,-0.0009866448770572411,-0.1472123275011289,Decrease
BCF_vs_ACF,Gamma,9,TP10,EN,Entropy,RAW_TP10_EN,5.406932313461794,5.41637295928545,0.009440645823656446,0.174602626338632,Increase
BCF_vs_ACF,Gamma,9,TP10,BP,Gamma Band Power,RAW_TP10_BP_Gamma,704700.0982921193,750718.6896706491,46018.59137852979,6.530237684095469,Increase
BCF_vs_ACF,Gamma,9,TP10,RP,Gamma Relative Power,RAW_TP10_RP_Gamma,0.3970201155532956,0.4000815302824415,0.003061414729145895,0.7710981406771904,Increase
BCF_vs_ACF,Gamma,9,TP10,HJ,Hjorth Activity,RAW_TP10_HJ_Activity,1815758.5369717807,1892224.8737590392,76466.33678725851,4.211261312023609,Increase
BCF_vs_ACF,Gamma,9,TP10,HJ,Hjorth Complexity,RAW_TP10_HJ_Complexity,1.319544701276932,1.318443974931734,-0.0011007263451978666,-0.08341713199505,Decrease
BCF_vs_ACF,Gamma,9,TP10,HJ,Hjorth Mobility,RAW_TP10_HJ_Mobility,0.6660436345395875,0.6710400408134113,0.004996406273823806,0.7501620036167218,Increase
BCF_vs_ACF,Gamma,9,TP9,EN,Entropy,RAW_TP9_EN,5.412682671933908,5.409945675372909,-0.0027369965609986835,-0.05056635917695091,Decrease
BCF_vs_ACF,Gamma,9,TP9,BP,Gamma Band Power,RAW_TP9_BP_Gamma,769444.1469898747,817931.9578138478,48487.81082397315,6.301667380752877,Increase
BCF_vs_ACF,Gamma,9,TP9,RP,Gamma Relative Power,RAW_TP9_RP_Gamma,0.3866086576488065,0.3922892927214631,0.005680635072656648,1.46935019696763,Increase
BCF_vs_ACF,Gamma,9,TP9,HJ,Hjorth Activity,RAW_TP9_HJ_Activity,1975212.537180921,2123858.0704727494,148645.53329182835,7.525546263693701,Increase
BCF_vs_ACF,Gamma,9,TP9,HJ,Hjorth Complexity,RAW_TP9_HJ_Complexity,1.331823034381703,1.3218545052368105,-0.009968529144892546,-0.7484875157997565,Decrease
BCF_vs_ACF,Gamma,9,TP9,HJ,Hjorth Mobility,RAW_TP9_HJ_Mobility,0.6610957722502662,0.6664077783710325,0.005312006120766322,0.8035153670224039,Increase
BCF_vs_ACF,Gamma,14,AF7,EN,Entropy,RAW_AF7_EN,5.408539521165073,5.40529359742801,-0.0032459237370634497,-0.06001479187424397,Decrease
BCF_vs_ACF,Gamma,14,AF7,BP,Gamma Band Power,RAW_AF7_BP_Gamma,728952.0781600279,723900.8556066377,-5051.222553390195,-0.6929430211846235,Decrease
BCF_vs_ACF,Gamma,14,AF7,RP,Gamma Relative Power,RAW_AF7_RP_Gamma,0.3906635555219327,0.4015228032946054,0.010859247772672664,2.7796930681605394,Increase
BCF_vs_ACF,Gamma,14,AF7,HJ,Hjorth Activity,RAW_AF7_HJ_Activity,1913614.370076304,1856351.2576581703,-57263.112418133765,-2.992406062243901,Decrease
BCF_vs_ACF,Gamma,14,AF7,HJ,Hjorth Complexity,RAW_AF7_HJ_Complexity,1.3200110456998548,1.3078289255015016,-0.012182120198353186,-0.9228801711954133,Decrease
BCF_vs_ACF,Gamma,14,AF7,HJ,Hjorth Mobility,RAW_AF7_HJ_Mobility,0.668303865298733,0.6737331361111947,0.005429270812461695,0.8123955425627833,Increase
BCF_vs_ACF,Gamma,14,AF8,EN,Entropy,RAW_AF8_EN,5.398012655524841,5.406190639880454,0.0081779843556129,0.15149991075405816,Increase
BCF_vs_ACF,Gamma,14,AF8,BP,Gamma Band Power,RAW_AF8_BP_Gamma,619192.0812648854,672310.3022047548,53118.22093986941,8.578633762783195,Increase
